Mã UC,Phân hệ (Module),Chức năng hệ thống,Chi tiết Use Case (Mô tả nghiệp vụ),Nền tảng (Platform),Ghi chú,Quân
UC-WEB-01,QUẢN LÝ NHÂN VIÊN,Quản lý phòng ban,"Xem danh sách, thêm, sửa, xóa phòng ban trên hệ thống",WEB QUẢN LÝ,gộp với tính năng ~uc-web-03,
UC-WEB-02,QUẢN LÝ NHÂN VIÊN,Quản lý chức vụ,"Xem danh sách, thêm, sửa, xóa chức vụ nhân sự",WEB QUẢN LÝ,gộp với tính năng ~uc-web-03,
UC-WEB-03,QUẢN LÝ NHÂN VIÊN,Quản lý nhân viên,"Xem danh sách, thêm mới, cập nhật thông tin, phân vai trò tài khoản nhân viên",WEB QUẢN LÝ,"Bao gom thong tin Phong Ban, Chuc vu, Phan quyen.",ok
UC-WEB-04,QUẢN LÝ CÀI ĐẶT,Quản lý tỉnh thành,Quản lý danh mục Tỉnh/Thành phố trên toàn quốc,WEB QUẢN LÝ,,
UC-WEB-05,QUẢN LÝ CÀI ĐẶT,Quản lý quận huyện,Quản lý danh mục Quận/Huyện liên kết với Tỉnh/Thành,WEB QUẢN LÝ,,
UC-WEB-06,QUẢN LÝ CÀI ĐẶT,Quản lý phường xã,Quản lý danh mục Phường/Xã/Thị trấn trực thuộc Quận/Huyện,WEB QUẢN LÝ,,
UC-WEB-07,QUẢN LÝ CÀI ĐẶT,Quản lý Trung tâm/ Chi nhánh/ Bưu cục,"Xem danh sách, thêm, sửa, thiết lập bưu cục giao nhận",WEB QUẢN LÝ,,
UC-WEB-08,QUẢN LÝ CÀI ĐẶT,Quản lý khu vực/ tuyến giao nhận,"Cấu hình khu vực hoạt động, tuyến đường vận chuyển của bưu cục",WEB QUẢN LÝ,gộp với tính năng ~uc-web-07,ok
UC-WEB-09,QUẢN LÝ CÀI ĐẶT,Quản lý đội xe,"Đăng ký thông tin xe, phân loại xe tải/xe máy",WEB QUẢN LÝ,,
UC-WEB-10,QUẢN LÝ CÀI ĐẶT,Quản lý phân quyền,Tạo các nhóm quyền và gán chức năng chi tiết cho từng chức vụ/vai trò,WEB QUẢN LÝ,,
UC-WEB-11,QUẢN LÝ CÀI ĐẶT,Quản lý dịch vụ/ dịch vụ gia tăng,"Cấu hình dịch vụ vận chuyển chính (tiêu chuẩn, hỏa tốc) & dịch vụ gia tăng (bảo hiểm, giao tận tay)",WEB QUẢN LÝ,gộp với tính năng ~uc-web-12,ok
